id,Question,A,B,C,D
1,Comment ma glycémie est-elle contrôlée ? Dois-je faire quelque chose de plus ?,La glycémie est le taux de sucre dans le sang. Elle se contrôle par des mesures régulières avec un lecteur de glycémie ou en laboratoire.,"Ma glycémie est contrôlée par mon niveau de stress ; si je suis détendu, mon taux de sucre est bon.","Je peux contrôler ma glycémie en buvant beaucoup d'eau, cela dilue le sucre dans mon sang.","Ma glycémie est contrôlée par ma seule alimentation ; tant que je mange équilibré, je n'ai pas à m'inquiéter."
2,"Mon contrôle a été bon jusqu'à présent, mais est-il susceptible de se détériorer avec l'âge, à mesure que mon métabolisme se modifie ?","Oui, le diabète s'aggrave toujours avec l'âge, il n'y a rien que vous puissiez faire à ce sujet.","Non, votre diabète est stable une fois que vous avez trouvé un bon contrôle ; le vieillissement n'a pas d'impact.",Votre diabète ne s'aggravera que si vous prenez du poids en vieillissant.,"Le contrôle du diabète peut se détériorer avec l'âge, car le métabolisme se modifie et le risque de complications augmente. Il est donc important de faire un suivi régulier avec votre médecin et d'..."
3,Comment puis-je mieux contrôler ma glycémie ?,"Pour mieux contrôler votre glycémie, vous pouvez :- Suivre une alimentation équilibrée et riche en fibres, en privilégiant les aliments à faible indice glycémique .- Faire de l'exercice physique ré...",Ignorer les symptômes légers est acceptable car le diabète ne devient dangereux qu'à un stade avancé.,Boire des jus de fruits sucrés est un bon moyen de gérer sa glycémie car ils contiennent des sucres naturels.,Manger beaucoup de sucre avant de dormir aide à stabiliser la glycémie pendant la nuit.
4,"Si je ne prends pas de médicaments, est-ce que je peux garder le contrôle de la maladie en perdant du poids ?",Perdre du poids est suffisant; vous n'avez pas besoin de faire attention à ce que vous mangez ou de faire de l'exercice.,"Oui, perdre du poids guérit complètement le diabète, donc vous n'aurez plus besoin de médicaments.","Perdre du poids peut vous aider à contrôler certaines maladies comme le diabète, l'hypertension ou l'obésité. Mais il faut aussi adopter de bons comportements alimentaires et faire de l'activité ph...","Non, la perte de poids n'a aucun impact sur le diabète; seuls les médicaments peuvent le contrôler."
5,Pourquoi dois-je prendre de l'insuline ?,L'insuline renforce votre cœur et vos vaisseaux sanguins.,L'insuline est un médicament qui remplace une mauvaise alimentation.,Vous devez prendre de l'insuline si votre pancréas ne produit pas assez d'insuline naturelle ou si vos cellules sont résistantes à l'insuline. L'insuline permet de réguler votre glycémie en facilit...,L'insuline vous aide à perdre du poids et à retrouver une meilleure forme.
7,Un meilleur régime alimentaire aiderait-il à se passer de l'insuline ?,"Oui, un régime spécial à base de plantes peut guérir le diabète et éliminer le besoin d'insuline.","Oui, un régime très strict avec aucun sucre peut remplacer l'insuline pour tous les types de diabète.","Non, un meilleur régime alimentaire ne permet pas de se passer de l'insuline en cas de diabète de type 1 . L'insuline est indispensable pour réguler la glycémie et éviter les complications.","Oui, si vous mangez beaucoup de légumes, votre corps produira suffisamment d'insuline pour ne plus avoir besoin d'injections."
8,Pourquoi ma glycémie est-elle en dents de scie ? Et pourquoi ne puis-je pas la contrôler ?,Votre sang contient trop de sucre et votre corps essaie de s'en débarrasser en le faisant varier.,"La glycémie est le taux de sucre dans le sang. Elle varie naturellement au cours de la journée en fonction de l'alimentation, de l'activité physique, du stress, des maladies ou des médicaments.",Votre corps est simplement confus et ne sait pas comment gérer le sucre correctement.,"C'est à cause de ce que vous avez mangé la semaine dernière, le sucre met du temps à sortir de votre corps."
9,Peut-on  avoir un REMÈDE définitif contre le diabète?,On peut se débarrasser du diabète en suivant un régime alimentaire très strict et en faisant beaucoup de sport.,"Il existe de nouvelles chirurgies qui peuvent enlever la partie du corps qui cause le diabète, le guérissant ainsi définitivement.","Oui, on peut guérir complètement du diabète en prenant des pilules spécifiques pour baisser le sucre.","Il n'existe pas de remède définitif contre le diabète, mais un ensemble de mesures qui composent le traitement antidiabétique. Ces mesures comprennent des médicaments  et des traitements non médica..."
10,COMMENT RESTER PLUS POSITIVE FACE À MON ÉTAT?,Concentrez-vous uniquement sur les chiffres de votre glycémie pour vous motiver.,Évitez de parler de votre diabète pour ne pas y penser.,"Pour rester plus positive, vous pouvez :  - Vous poser des questions qui ouvrent de nouvelles perspectives ou possibilités dans votre esprit, comme ""Quelle est le ou les points positifs de cette si...",Comparez-vous aux autres personnes atteintes de diabète pour voir que vous êtes moins touché.
11,J'AIMERAIS AVOIR PLUS D'INFORMATIONS SUR LA NEUROPATHIE diabétique.,La neuropathie diabétique est une infection des pieds qui arrive souvent chez les diabétiques.,La neuropathie diabétique est une maladie mentale causée par le stress lié au diabète.,"La neuropathie diabétique est une atteinte des nerfs causée par l'hyperglycémie chronique. Elle peut provoquer des symptômes variés selon les nerfs touchés, comme des douleurs, des engourdissements...",La neuropathie diabétique est une réaction allergique aux médicaments pour le diabète.
