id,Question,A,B,C,D
1,How is my blood sugar controlled? Should I do anything else?,I can control my blood sugar by drinking a lot of water; it dilutes the sugar in my blood.,"Control your blood sugar with regular monitoring. Follow your diet, treatment, and physical activity to avoid high blood sugar. Consult a doctor if you have symptoms.","My blood sugar is controlled solely by my diet; as long as I eat balanced meals, I don't have to worry.","My blood sugar is controlled by my stress level; if I'm relaxed, my sugar level is good."
2,"My control has been good so far, but is it likely to deteriorate with age as my metabolism changes?","Yes, diabetes control can deteriorate with age due to metabolic changes. Regular monitoring and treatment adjustment are essential.","Yes, diabetes always worsens with age; there's nothing you can do about it.","No, your diabetes is stable once you have achieved good control; aging has no impact.",Your diabetes will only worsen if you gain weight as you get older.
3,How can I better control my blood sugar?,Drinking sugary fruit juices is a good way to manage blood sugar because they contain natural sugars.,Eating a lot of sugar before sleeping helps stabilize blood sugar during the night.,Ignoring mild symptoms is acceptable because diabetes only becomes dangerous at an advanced stage.,"Control your blood sugar through a balanced diet, exercise, regular monitoring, and medical follow-up."
4,"If I don't take medication, can I keep the disease under control by losing weight?","Losing weight helps control diabetes, but a healthy diet and exercise are also essential.",Losing weight is enough; you don't need to watch what you eat or exercise.,"No, weight loss has no impact on diabetes; only medication can control it.","Yes, losing weight completely cures diabetes, so you won't need medication anymore."
5,Why do I have to take insulin?,Insulin strengthens your heart and blood vessels.,Insulin is a medication that replaces a poor diet.,Insulin helps you lose weight and get in better shape.,"You take insulin because your body doesn't produce enough or is resistant to it, which helps regulate your blood sugar and prevent complications."
7,Would a better diet help to manage without insulin?,"Yes, a special plant-based diet can cure diabetes and eliminate the need for insulin.","Yes, if you eat a lot of vegetables, your body will produce enough insulin so you won't need injections anymore.","No, a better diet doesn't eliminate the need for insulin for type 1 diabetes, but it helps control blood sugar and improve health.","Yes, a very strict diet with no sugar can replace insulin for all types of diabetes."
8,Why is my blood sugar fluctuating? And why can't I control it?,Your blood contains too much sugar and your body is trying to get rid of it by making it fluctuate.,It's because of what you ate last week; sugar takes a long time to leave your body.,"Blood sugar fluctuates due to diet, activity, stress, illness, or inadequate treatment. Sleep also impacts it. Regular monitoring is essential.",Your body is simply confused and doesn't know how to manage sugar correctly.
9,Is there a definitive CURE for diabetes?,"There are new surgeries that can remove the part of the body that causes diabetes, thus permanently curing it.","There is no definitive cure for diabetes, but treatment combining medication and non-medicinal measures is essential for effectively managing it.",You can get rid of diabetes by following a very strict diet and exercising a lot.,"Yes, you can be completely cured of diabetes by taking specific pills to lower sugar."
10,HOW TO STAY MORE POSITIVE ABOUT MY CONDITION?,Focus only on your blood sugar numbers to motivate yourself.,Compare yourself to other people with diabetes to see that you are less affected.,Avoid talking about your diabetes so you don't think about it.,"To stay positive, focus on positive aspects, surround yourself with support, practice gratitude, take physical care of yourself, and start your days positively."
11,I WOULD LIKE MORE INFORMATION ABOUT DIABETIC NEUROPATHY.,Diabetic neuropathy is a foot infection that often occurs in diabetics.,Diabetic neuropathy is a mental illness caused by stress related to diabetes.,"Diabetic neuropathy: nerve damage caused by hyperglycemia, resulting in pain, numbness, digestive/urinary issues. Good blood sugar control slows its progression.",Diabetic neuropathy is an allergic reaction to diabetes medication.
12,"OVER THE LAST SIX MONTHS, I'VE NOTICED I'M FORGETTING MORE AND MORE THINGS. COULD THIS BE ATTRIBUTED TO MY DIABETES?","Forgetfulness is part of normal aging, not diabetes.","Your blood sugar is too low, which temporarily disrupts your brain.","Diabetes only affects your blood sugar level, not your memory.","Yes, diabetes, especially poorly controlled diabetes, can affect memory. Consult your doctor."
13,I AM CURRENTLY BEING EXAMINED FOR POSSIBLE SLEEP APNEA. COULD THIS BE LINKED TO DIABETES?,"Sleep apnea is caused by type 1 diabetes, as thin people with type 1 diabetes often have breathing problems.",Only gestational diabetes in pregnant women can be linked to sleep apnea due to hormonal changes.,"Yes, sleep apnea is linked to type 2 diabetes, often due to overweight. It can also complicate the management of your diabetes.","No, sleep apnea is a lung problem and diabetes is a blood sugar problem; they have no link."
14,My blood sugar has been HIGH for a long time. Can the side effects be improved again?,Side effects disappear on their own over time.,"Yes, controlling your blood sugar through diet, exercise, and treatment can improve diabetes complications.",Diabetes complications only affect elderly people.,Just drinking a lot of water is enough to lower blood sugar.
15,Will there be a CURE for diabetes?,Diabetes goes away on its own if you eat a lot of sugar to 'balance' the body.,"Yes, a new magic pill has been discovered that cures diabetes overnight.",Diabetes is a chronic disease that is treated but not yet cured. Research for a cure is ongoing.,"Only children develop diabetes, and it disappears as they get older."
16,CAN I HAVE AN IMPLANT THAT MAKES INSULIN FOR ME?,"No, the body cannot accept an organ replacement like the pancreas that produces insulin.","No, there is no implant to produce insulin; only an injection can do that.","Yes, experimental implants exist to automatically deliver insulin by detecting your blood sugar, but they are not yet available to the public.","Yes, but only if the diabetes is mild and the implant doesn't need to produce much insulin."
17,CAN THE GLAND START WORKING AGAIN?,"Yes, a gland can start working again if the cause of the dysfunction is treated, but not always.","Yes, you just need to massage the area where the gland is located or take vitamin supplements to help it restart.","Yes, if you eat certain foods like honey or turmeric, it can stimulate the gland and make it work again.","No, once a gland stops working, it is permanently damaged and can never recover."
18,WHY DOES STRESS INCREASE MY BLOOD SUGAR?,Stress increases blood sugar because it slows down the digestion and absorption of sugars.,Stress increases blood sugar because it makes you want to eat sugary foods more.,Stress increases blood sugar by releasing hormones that stimulate glucose production and reduce insulin sensitivity.,"Stress increases blood sugar because it exhausts the body, preventing it from using sugar correctly."
19,CAN AN INSULIN PUMP HELP CONTROL BLOOD SUGAR BETTER THAN INSULIN PENS?,Insulin pumps are preferable because they completely eliminate the need to control blood sugar yourself.,"Yes, an insulin pump can better control blood sugar by delivering insulin continuously and adapting to lifestyle, with fewer injections.","Insulin pumps are more expensive, so they must be more effective to justify their high cost.",An insulin pump is always more effective because it uses a different and more powerful type of insulin than pens.
20,WHY ARE MY HANDS AND MY FEET SO AFFECTED by diabetes?,Diabetes medications have side effects that primarily affect the hands and feet.,"Diabetes causes poor general blood circulation throughout the body, which affects the extremities the most.","Diabetes weakens the bones in the hands and feet, making them more fragile and sensitive.","High blood sugar damages nerves and vessels in hands/feet, causing numbness, poor healing, and infection risk."
21,WILL I EVER STOP TAKING INSULIN AND TABLETS AT THE SAME TIME?,"Yes, after a few years, diabetes disappears and you won't need treatment anymore.","Yes, if you exercise a lot, your body will produce enough insulin for you to stop.","Type 1 requires lifelong insulin. Type 2 may stop insulin if controlled, but may need it later. Always consult your doctor before changing treatment.","Yes, if you stop eating sugar, you won't need insulin or tablets anymore."
22,WHAT ABOUT AN INSULIN PUMP?,An insulin pump is a device that helps digest sugar faster so it doesn't stay in the blood.,"An insulin pump delivers insulin continuously or on demand to better control blood sugar, as an alternative to injections.",An insulin pump is a type of treatment that completely replaces oral medications for type 2 diabetes.,An insulin pump is a device that measures blood sugar level and automatically injects the necessary insulin.
23,What are the INJECTION SITES?,"Insulin is injected under the skin in 4 areas: abdomen, arms, buttocks, and thighs.",Insulin is injected directly into a vein for fast action.,Insulin is injected under the tongue to be absorbed.,Only the heart area is an insulin injection site.
24,How can I avoid BRUISES?,"Apply cold, avoid heat, elevate and rest the area. Arnica, vitamin K, or aloe vera can help.",Bruises are a sign that you are lacking calcium; you need to take more.,"To avoid bruises, you need to massage very hard as soon as you bump yourself.",You must apply heat immediately to make the bruise disappear faster.
