id,Question,A,B,C,D
1,Comment ma glycémie est-elle contrôlée ? Dois-je faire quelque chose de plus ?,"Contrôlez votre glycémie par des mesures régulières. Suivez votre régime, traitement et activité physique pour éviter l'hyperglycémie. Consultez un médecin si symptômes.","Ma glycémie est contrôlée par ma seule alimentation ; tant que je mange équilibré, je n'ai pas à m'inquiéter.","Je peux contrôler ma glycémie en buvant beaucoup d'eau, cela dilue le sucre dans mon sang.","Ma glycémie est contrôlée par mon niveau de stress ; si je suis détendu, mon taux de sucre est bon."
2,"Mon contrôle a été bon jusqu'à présent, mais est-il susceptible de se détériorer avec l'âge, à mesure que mon métabolisme se modifie ?","Oui, le contrôle du diabète peut se détériorer avec l'âge en raison des changements métaboliques. Un suivi régulier et l'adaptation du traitement sont essentiels.","Non, votre diabète est stable une fois que vous avez trouvé un bon contrôle ; le vieillissement n'a pas d'impact.","Oui, le diabète s'aggrave toujours avec l'âge, il n'y a rien que vous puissiez faire à ce sujet.",Votre diabète ne s'aggravera que si vous prenez du poids en vieillissant.
3,Comment puis-je mieux contrôler ma glycémie ?,"Contrôlez votre glycémie par une alimentation équilibrée, l'exercice, la surveillance régulière et le suivi médical.",Manger beaucoup de sucre avant de dormir aide à stabiliser la glycémie pendant la nuit.,Boire des jus de fruits sucrés est un bon moyen de gérer sa glycémie car ils contiennent des sucres naturels.,Ignorer les symptômes légers est acceptable car le diabète ne devient dangereux qu'à un stade avancé.
4,"Si je ne prends pas de médicaments, est-ce que je peux garder le contrôle de la maladie en perdant du poids ?","Perdre du poids aide à contrôler le diabète, mais une alimentation saine et l'exercice sont aussi essentiels.","Oui, perdre du poids guérit complètement le diabète, donc vous n'aurez plus besoin de médicaments.","Non, la perte de poids n'a aucun impact sur le diabète; seuls les médicaments peuvent le contrôler.",Perdre du poids est suffisant; vous n'avez pas besoin de faire attention à ce que vous mangez ou de faire de l'exercice.
5,Pourquoi dois-je prendre de l'insuline ?,"Vous prenez de l'insuline car votre corps n'en produit pas assez ou y résiste, ce qui aide à réguler votre glycémie et prévenir les complications.",L'insuline vous aide à perdre du poids et à retrouver une meilleure forme.,L'insuline est un médicament qui remplace une mauvaise alimentation.,L'insuline renforce votre cœur et vos vaisseaux sanguins.
7,Un meilleur régime alimentaire aiderait-il à se passer de l'insuline ?,"Non, un meilleur régime n'élimine pas l'insuline pour le diabète de type 1, mais aide à contrôler la glycémie et améliorer la santé.","Oui, un régime très strict avec aucun sucre peut remplacer l'insuline pour tous les types de diabète.","Oui, si vous mangez beaucoup de légumes, votre corps produira suffisamment d'insuline pour ne plus avoir besoin d'injections.","Oui, un régime spécial à base de plantes peut guérir le diabète et éliminer le besoin d'insuline."
8,Pourquoi ma glycémie est-elle en dents de scie ? Et pourquoi ne puis-je pas la contrôler ?,"Glycémie fluctuante due à alimentation, activité, stress, maladies, ou traitement inadapté. Sommeil impacte aussi. Contrôle régulier essentiel.",Votre sang contient trop de sucre et votre corps essaie de s'en débarrasser en le faisant varier.,"C'est à cause de ce que vous avez mangé la semaine dernière, le sucre met du temps à sortir de votre corps.",Votre corps est simplement confus et ne sait pas comment gérer le sucre correctement.
9,Peut-on  avoir un REMÈDE définitif contre le diabète?,"Il n'existe pas de remède définitif contre le diabète, mais un traitement combinant médicaments et mesures non médicamenteuses est essentiel pour le gérer efficacement.","Oui, on peut guérir complètement du diabète en prenant des pilules spécifiques pour baisser le sucre.",On peut se débarrasser du diabète en suivant un régime alimentaire très strict et en faisant beaucoup de sport.,"Il existe de nouvelles chirurgies qui peuvent enlever la partie du corps qui cause le diabète, le guérissant ainsi définitivement."
10,COMMENT RESTER PLUS POSITIVE FACE À MON ÉTAT?,"Pour rester positive, concentrez-vous sur les aspects positifs, entourez-vous de soutien, pratiquez la gratitude, prenez soin de vous physiquement et commencez vos journées positivement.",Évitez de parler de votre diabète pour ne pas y penser.,Concentrez-vous uniquement sur les chiffres de votre glycémie pour vous motiver.,Comparez-vous aux autres personnes atteintes de diabète pour voir que vous êtes moins touché.
11,J'AIMERAIS AVOIR PLUS D'INFORMATIONS SUR LA NEUROPATHIE diabétique.,"Neuropathie diabétique: atteinte des nerfs par l'hyperglycémie, causant douleurs, engourdissements, troubles digestifs/urinaires. Bon contrôle glycémique ralentit sa progression.",La neuropathie diabétique est une maladie mentale causée par le stress lié au diabète.,La neuropathie diabétique est une infection des pieds qui arrive souvent chez les diabétiques.,La neuropathie diabétique est une réaction allergique aux médicaments pour le diabète.
